# Tx_arcsec,Ty_arcsec
4.820029614000936249e+02,-2.756391034329026866e+02
4.819541677734057430e+02,-2.758594078837481902e+02
4.819130658939778868e+02,-2.760615769319272772e+02
4.818789653763398633e+02,-2.762435820384208682e+02
4.818512011992900170e+02,-2.764035194786335978e+02
4.818291475876002892e+02,-2.765396636344686385e+02
4.818122406011016778e+02,-2.766505029687285173e+02
4.818000027413735324e+02,-2.767347790627314907e+02
4.817920615675003546e+02,-2.767915164973411493e+02
4.817881555415435173e+02,-2.768200541653294522e+02
